Date,Open,High,Low,Close,Adj Close,Volume
2013-08-26,73.760002,74.470001,71.470001,71.910004,64.029472,15784800
2013-09-02,72.589996,74.230003,72.139999,73.349998,65.311668,13877300
2013-09-09,73.589996,75.750000,73.150002,75.300003,67.047935,14923100
2013-09-16,76.339996,77.900002,75.440002,77.320000,68.846558,26822500
2013-09-23,77.290001,77.660004,75.430000,75.889999,67.573273,15638900
2013-09-30,74.970001,76.010002,73.300003,74.309998,66.166443,17911500
2013-10-07,73.500000,75.440002,72.080002,75.400002,67.340950,19651400
2013-10-14,75.330002,80.680000,75.099998,80.519997,71.913719,31563900
2013-10-21,80.470001,82.669998,80.010002,82.610001,73.780327,19359500
2013-10-28,82.720001,83.830002,81.690002,82.160004,73.378410,20795700
2013-11-04,82.410004,82.639999,80.879997,81.779999,73.039047,15727200
2013-11-11,81.589996,83.260002,80.220001,82.800003,73.950012,14013400
2013-11-18,82.849998,84.000000,81.959999,83.849998,74.887810,16435800
2013-11-25,84.320000,86.190002,84.080002,85.800003,76.629372,13219100
2013-12-02,86.019997,86.529999,83.760002,85.930000,76.745483,17091000
2013-12-09,86.169998,86.400002,83.209999,83.680000,74.735954,15742200
2013-12-16,83.959999,87.779999,83.550003,87.570000,78.210205,22075800
2013-12-23,88.000000,89.510002,87.940002,89.190002,79.657043,7827900
2013-12-30,89.190002,91.080002,88.629997,89.739998,80.148262,13853000
2014-01-06,89.699997,90.699997,88.070000,88.550003,79.085442,17135200
2014-01-13,88.519997,93.620003,86.070000,90.970001,81.456459,33229800
2014-01-20,91.970001,92.709999,86.660004,86.949997,77.856850,23353500
2014-01-27,87.150002,87.769997,84.910004,85.019997,76.128685,22155000
2014-02-03,84.989998,87.169998,82.629997,87.000000,77.901619,24338000
2014-02-10,87.830002,89.269997,87.500000,89.000000,79.692467,16910400
2014-02-17,88.800003,90.320000,88.120003,88.750000,79.468605,16144400
2014-02-24,88.790001,92.139999,88.790001,91.279999,81.734001,18781000
2014-03-03,90.599998,94.349998,89.160004,93.860001,84.044205,18126200
2014-03-10,93.620003,93.879997,89.639999,90.169998,80.740097,14225100
2014-03-17,90.510002,93.720001,90.230003,91.519997,81.948906,19271200
2014-03-24,91.639999,91.900002,89.269997,90.459999,80.999763,14693500
2014-03-31,91.080002,91.940002,89.070000,89.169998,79.844681,16297900
2014-04-07,89.029999,89.430000,83.989998,84.540001,75.890350,22258900
2014-04-14,85.089996,87.919998,84.040001,86.220001,77.398460,21053100
2014-04-21,86.379997,87.980003,86.160004,87.029999,78.125587,18384000
2014-04-28,87.440002,87.949997,85.849998,86.930000,78.035812,20352200
2014-05-05,86.000000,89.279999,85.750000,88.839996,79.750389,17775800
2014-05-12,89.419998,90.000000,86.900002,87.500000,78.547478,13267600
2014-05-19,87.180000,88.860001,86.860001,88.779999,79.696518,11837300
2014-05-26,89.599998,91.680000,89.349998,91.500000,82.138237,13823900
2014-06-02,91.790001,94.940002,91.269997,94.910004,85.199356,15828200
2014-06-09,95.080002,95.879997,94.360001,94.849998,85.145500,12791000
2014-06-16,94.360001,96.040001,93.839996,95.540001,85.764870,16453400
2014-06-23,95.330002,95.750000,93.540001,94.930000,85.217285,12815100
2014-06-30,95.000000,96.239998,94.550003,95.839996,86.034203,8889900
2014-07-07,95.500000,95.660004,93.160004,94.470001,84.804352,11775500
2014-07-14,95.230003,95.580002,92.910004,93.529999,84.191994,15099000
2014-07-21,93.290001,94.059998,91.580002,91.930000,82.751724,13645100
2014-07-28,91.900002,92.320000,85.750000,86.470001,77.836876,33936000
2014-08-04,86.599998,87.510002,85.889999,87.470001,78.737015,24299600
2014-08-11,87.919998,88.160004,86.230003,86.599998,77.953880,16081200
2014-08-18,87.290001,89.510002,86.980003,88.879997,80.006264,15144200
2014-08-25,89.559998,90.220001,88.610001,89.550003,80.609367,15294500
2014-09-01,89.900002,90.489998,89.019997,89.610001,80.663368,11688200
2014-09-08,89.400002,89.830002,87.440002,87.639999,78.890045,18584400
2014-09-15,88.349998,90.680000,86.879997,89.699997,80.744377,25819100
2014-09-22,89.580002,90.089996,86.760002,88.370003,79.547173,22063900
2014-09-29,87.629997,88.320000,85.059998,87.160004,78.457977,20767200
2014-10-06,87.680000,87.980003,84.989998,84.989998,76.732529,20911300
2014-10-13,84.760002,85.250000,78.410004,82.580002,74.556694,38727200
2014-10-20,82.790001,86.430000,82.629997,86.400002,78.005547,23868700
2014-10-27,86.010002,90.599998,85.760002,89.949997,81.210625,23722500
2014-11-03,90.320000,92.480003,90.220001,92.260002,83.296188,20163600
2014-11-10,92.209999,92.589996,90.349998,90.669998,81.860664,15483600
2014-11-17,90.239998,91.680000,89.650002,90.389999,81.607857,14322200
2014-11-24,90.800003,92.550003,90.209999,92.419998,83.440659,12061400
2014-12-01,92.070000,93.120003,91.050003,92.650002,83.648293,19229600
2014-12-08,92.680000,94.620003,90.940002,91.000000,82.158623,22094100
2014-12-15,91.440002,93.910004,88.190002,92.900002,83.874016,26644400
2014-12-22,92.989998,94.800003,92.830002,94.290001,85.128967,8537000
2014-12-29,94.000000,94.889999,92.139999,93.019997,83.982346,7651800
2015-01-05,92.459999,92.779999,87.940002,90.419998,81.634956,21391000
2015-01-12,90.500000,91.139999,84.550003,86.040001,77.909050,25996300
2015-01-19,86.459999,87.720001,83.500000,84.129997,76.179581,37306000
2015-01-26,83.779999,84.300003,80.559998,80.690002,73.064674,35660900
2015-02-02,80.959999,86.010002,80.849998,85.010002,76.976402,26307500
2015-02-09,84.529999,86.180000,77.720001,78.080002,70.701302,78593500
2015-02-16,77.160004,80.269997,77.120003,79.830002,72.285919,64202000
2015-02-23,79.989998,83.470001,79.470001,81.589996,73.879593,42828300
2015-03-02,81.589996,82.209999,80.059998,80.309998,72.720566,30602200
2015-03-09,80.150002,82.000000,78.870003,80.599998,72.983147,34223300
2015-03-16,80.879997,83.059998,80.269997,82.699997,74.884682,30017800
2015-03-23,82.699997,83.540001,77.709999,77.970001,70.601700,46621400
2015-03-30,78.349998,79.769997,77.620003,79.699997,72.168221,25062200
2015-04-06,79.339996,80.099998,78.260002,79.589996,72.309471,23886200
2015-04-13,79.730003,81.169998,76.529999,77.320000,70.247124,44545200
2015-04-20,77.389999,78.650002,76.959999,77.989998,70.855820,29091800
2015-04-27,77.830002,77.959999,76.940002,77.680000,70.574196,28331000
2015-05-04,77.959999,79.639999,77.389999,78.980003,71.755295,30241800
2015-05-11,79.050003,81.160004,78.440002,80.220001,72.881866,24827700
2015-05-18,80.279999,81.599998,79.779999,81.250000,73.817604,22275600
2015-05-25,81.120003,81.459999,79.580002,79.720001,72.427597,22215900
2015-06-01,79.940002,81.269997,78.949997,79.389999,72.127777,23490700
2015-06-08,79.430000,80.769997,78.800003,79.529999,72.254951,26522200
2015-06-15,79.000000,80.900002,78.820000,80.190002,72.854614,36554700
2015-06-22,80.680000,81.919998,79.830002,79.879997,72.572960,38880300
2015-06-29,79.220001,79.349998,77.650002,78.209999,71.055733,26243900
2015-07-06,77.550003,77.849998,75.750000,77.309998,70.500839,25422600
2015-07-13,77.970001,79.360001,77.769997,79.220001,72.242615,18709600
2015-07-20,79.199997,79.629997,75.680000,75.900002,69.215019,32817000
2015-07-27,75.440002,76.669998,74.300003,76.059998,69.360939,31084100
2015-08-03,75.860001,80.220001,74.339996,79.720001,72.698586,43070800
2015-08-10,79.690002,81.650002,79.500000,80.910004,73.783791,38318400
2015-08-17,80.389999,81.660004,77.029999,77.029999,70.245483,30071500
2015-08-24,73.360001,77.180000,71.709999,76.650002,69.898964,39102000
2015-08-31,76.260002,77.260002,73.570000,74.080002,67.555336,26453400
2015-09-07,75.580002,76.510002,74.790001,75.500000,68.850250,19614300
2015-09-14,75.160004,78.400002,74.779999,75.949997,69.260635,30703600
2015-09-21,76.419998,77.320000,73.849998,75.099998,68.485481,22083700
2015-09-28,74.459999,74.699997,72.500000,74.410004,67.856270,25903400
2015-10-05,75.050003,77.849998,75.040001,77.330002,70.519073,19750200
2015-10-12,77.160004,77.500000,75.940002,77.209999,70.676147,17470600
2015-10-19,76.949997,77.610001,71.389999,74.589996,68.277840,46353100
2015-10-26,73.300003,74.970001,73.059998,73.260002,67.060410,28728100
2015-11-02,73.430000,74.849998,73.269997,74.300003,68.012398,35285700
2015-11-09,74.080002,74.260002,71.099998,71.199997,65.174728,25903200
2015-11-16,70.830002,73.349998,70.209999,72.419998,66.291504,26210200
2015-11-23,72.459999,72.739998,71.000000,71.849998,65.769707,14063300
2015-11-30,71.849998,72.440002,70.120003,71.099998,65.083191,25517900
2015-12-07,70.820000,71.089996,68.480003,68.860001,63.032738,34383500
2015-12-14,68.989998,70.959999,67.570000,67.870003,62.126534,40920900
2015-12-21,68.150002,70.510002,67.989998,70.160004,64.222755,15764600
2015-12-28,70.000000,70.750000,69.360001,69.550003,63.664364,13023500
2016-01-04,68.089996,68.180000,63.080002,63.630001,58.245350,51137200
2016-01-11,63.740002,64.900002,61.500000,62.910000,57.838306,42316100
2016-01-18,63.410000,64.320000,54.139999,55.060001,50.621166,69471600
2016-01-25,54.459999,55.820000,52.150002,53.500000,49.186916,74383300
2016-02-01,53.410000,54.990002,52.830002,53.980000,49.628231,47353700
2016-02-08,53.240002,53.450001,50.270000,52.660000,48.414646,42823600
2016-02-15,53.009998,55.029999,52.730000,54.709999,50.299381,30862600
2016-02-22,54.709999,55.900002,53.560001,55.380001,50.915359,28291000
